Column Width (2.6 inches),,Column Width (2.6 inches),,Column Width (2.6 inches),,Column Width (2.6 inches),
"Arial Font, 10",,"Arial Font, 10",,"Arial Font, 10",,"Arial Font, 10",
"Arial Font, Bold 12",,"Arial Font, Bold 12",,"Arial Font, Bold 12",,"Arial Font, Bold 12",
"Arial Font, Italic 14",,"Arial Font, Italic 14",,"Arial Font, Italic 14",,"Arial Font, Italic 14",
Blue Text Color (#3300FF),,Blue Text Color (#3300FF),,Blue Text Color (#3300FF),,Blue Text Color (#3300FF),
Theme Text Color (Theme 1),,Theme Text Color (Theme 1),,Theme Text Color (Theme 1),,Theme Text Color (Theme 1),
Yellow Background Color (#FFFF66),,Yellow Background Color (#FFFF66),,Yellow Background Color (#FFFF66),,Yellow Background Color (#FFFF66),
Theme Background Color (Theme 2),,Theme Background Color (Theme 2),,Theme Background Color (Theme 2),,Theme Background Color (Theme 2),
Left Justify,,Left Justify,,Left Justify,,Left Justify,
Right Justify,,Right Justify,,Right Justify,,Right Justify,
Center Justify,,Center Justify,,Center Justify,,Center Justify,
Top Valign,,Top Valign,,Top Valign,,Top Valign,
Center Valign,,Center Valign,,Center Valign,,Center Valign,
Bottom Valign,,Bottom Valign,,Bottom Valign,,Bottom Valign,
1.12,,1.12,,1.12,,1.12,
1/31/12,,1/31/12,,1/31/12,,1/31/12,
12.34%,,12.34%,,12.34%,,12.34%,
Merged Cells,,Merged Cells,,Merged Cells,,Merged Cells,
Green Border (#006600),,Green Border (#006600),,Green Border (#006600),,Green Border (#006600),
Empty,,Empty,,Empty,,Empty,
Theme Color Border (Theme 3),,Theme Color Border (Theme 3),,Theme Color Border (Theme 3),,Theme Color Border (Theme 3),
Empty,,Empty,,Empty,,Empty,
Merged Cells with Formating,,Merged Cells with Formating,,Merged Cells with Formating,,Merged Cells with Formating,
,,,,,,,
Really Really Really Really Really Really Long Text That Wraps,,Really Really Really Really Really Really Long Text That Wraps,,Really Really Really Really Really Really Long Text That Wraps,,Really Really Really Really Really Really Long Text That Wraps,
Really Really Really Really Really Really Long Text That Shrinks,,Really Really Really Really Really Really Long Text That Shrinks,,Really Really Really Really Really Really Long Text That Shrinks,,Really Really Really Really Really Really Long Text That Shrinks,