,Q1,Q2,Q3,Q4,Totals,,,,
Division A,,,,,,,,,
North,$55,$40,$55,$70,$220,,,,
East,$59,$98,$76,$90,$323,,,,
South,$60,$46,$86,$78,$270,,,,
West,$90,$65,$82,$45,$282,,,,
Division B,,,,,,,,,
North,$47,$81,$54,$61,$243,,,,
East,$89,$63,$71,$58,$281,,,,
South,$61,$49,$88,$86,$284,,,,
West,$54,$64,$91,$73,$282,,,,
Division C,,,,,,,,,
North,$76,$45,$78,$92,$291,,,,
East,$81,$62,$47,$59,$249,,,,
South,$85,$62,$82,$83,$312,,,,
West,$56,$72,$72,$89,$289,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Q1,Q2,Q3,Q4,Totals,,,,
Division A,,,,,,,,,
North,$52,$88,$52,$70,$262,,,,
East,$59,$89,$76,$90,,,,,
South,$60,$46,$86,$78,,,,,
West,$90,$65,$82,$45,,,,,
Division B,,,,,,,,,
North,$53,$66,$54,$61,,,,,
East,$89,$63,$71,$58,,,,,
South,$61,$49,$88,$88,,,,,
West,$54,$64,$91,$73,,,,,
Division C,,,,,,,,,
North,$76,$45,$78,$92,,,,,
East,$81,$62,$47,$59,,,,,
South,$85,$64,$82,$83,,,,,
West,$56,$72,$72,$89,,,,,